('北京市+北京', '0.975791')
('东路前院正房名+整座府邸', '0.689967')
('这座宅第+宋易元吉聚猿图', '0.688482')
('一座恭王府半部清朝史+著名学者侯仁之先生', '0.686502')
('中国+日本', '0.686039')
('这座宅第+此处私宅', '0.685479')
('永璘+宋易元吉聚猿图', '0.685321')
('恭王府府邸前身+恭王府', '0.684801')
('永璘+嘉庆帝', '0.68399')
('嘉庆帝+驸马', '0.683889')
('厉子嘉+康熙', '0.682878')
('府邸花园两部分+整座府邸', '0.682311')
('厉子嘉+周总理', '0.681484')
('亲王府+恭王府', '0.680988')
('恭王府人+恭王府府邸前身', '0.680737')
('八十年代初恭王府+2008年恭王府', '0.680518')
('2008年恭王府+恭王府花园', '0.680313')
('恭王府前半部+恭亲王奕忻', '0.67993')
('恭王府管理处+恭王府银安殿', '0.67822')
('中国+康熙', '0.675963')
('乾隆+康熙', '0.675356')
('北京恭王府+八十年代初恭王府', '0.67366')
('宋易元吉聚猿图+百名能工巧匠', '0.673218')
('厉家菜+嘉庆帝', '0.673046')
('亲王府+府邸', '0.672564')
('恭王府管理处+恭王府前半部', '0.670907')
('亲王府+嘉庆帝', '0.666354')
('厉善麟祖父厉子嘉+宋易元吉聚猿图', '0.665869')
('恭王府+恭王府以前主人', '0.66341')
('府邸花园两部分+恭王府花园', '0.663266')
('和珅+复辟', '0.663088')
('厉家菜+殿堂屋顶', '0.662314')
('山中定次郎+恭王府主人奕䜣', '0.662314')
('厉子嘉任务+奕訢', '0.66201')
('编辑+中国', '0.66089')
('嘉庆帝+恭亲王', '0.660816')
('辅仁大学+中国', '0.660755')
('嘉庆皇帝+乾隆', '0.66011')
('宋易元吉聚猿图+恭亲王奕忻', '0.659465')
('宋易元吉聚猿图+唐颜真卿告身帖', '0.659241')
('中国音乐学院+中国', '0.659059')
('11月中央政治局常委李瑞环同志+原国务院副总理李岚清同志', '0.657065')
('宋易元吉聚猿图+整座府邸', '0.656313')
('一座恭王府半部清朝史+恭王府人', '0.656083')
('嘉庆皇帝+驸马', '0.654894')
('一座恭王府半部清朝史+清代嘉庆年间礼亲王昭梿', '0.65442')
('著名学者侯仁之先生+原国务院副总理李岚清同志', '0.653995')
('厉善麟祖父厉子嘉+奕訢', '0.653288')
('溥伟+宋易元吉聚猿图', '0.652895')
('山中定次郎+厉善麟祖父厉子嘉', '0.65071')
('恭王府几座主要厅堂内檐装修+恭王府以前主人', '0.650554')
('奕訢+复辟', '0.649983')
('厉子嘉+府邸', '0.64959')
('山中定次郎+这座宅第', '0.649227')
('小恭王溥伟+宋易元吉聚猿图', '0.647534')
('亲王府+嘉乐堂', '0.64699')
('利滚利+嘉乐堂', '0.646741')
('厉善麟祖父厉子嘉+嘉乐堂', '0.646523')
('恭王府管理中心+恭王府前身', '0.645945')
('全部财富+嘉乐堂', '0.645783')
('厉善麟祖父厉子嘉+恭亲王', '0.645517')
('厉善麟祖父厉子嘉+唐颜真卿告身帖', '0.645205')
('山中定次郎+宋易元吉聚猿图', '0.643895')
('原国务院副总理李岚清同志+宋易元吉聚猿图', '0.643859')
('复辟+康熙', '0.643491')
('咸丰皇帝+乾隆', '0.642929')
('恭王府管理中心+恭王府府邸前身', '0.642857')
('恭王府人+恭亲王奕忻', '0.641553')
('亲王府+殿堂屋顶', '0.641473')
('11月中央政治局常委李瑞环同志+睿庙籍没', '0.641078')
('恭王府府邸前身+恭王府花园', '0.641048')
('厉子嘉+周恩来总理', '0.640989')
('周恩来总理+厉善麟', '0.640989')
('亲王府+山中定次郎', '0.640113')
('亲王府+恭王府主人奕䜣', '0.640113')
('周恩来总理+乾隆', '0.63911')
('恭王府几座主要厅堂内檐装修+恭亲王奕忻', '0.638245')
('宋易元吉聚猿图+此处私宅', '0.637318')
('恭王府人+恭王府几座主要厅堂内檐装修', '0.636963')
('永璘+厉子嘉任务', '0.636743')
('著名学者侯仁之先生+恭王府前半部', '0.636738')
('恭王府人+2008年恭王府', '0.636294')
('厉家菜+乾隆', '0.635251')
('恭王府银安殿+恭亲王', '0.635245')
('小恭王溥伟+恭王府', '0.634885')
('周总理+乾隆', '0.634181')
('和珅+恭亲王', '0.633793')
('和珅+嘉庆帝', '0.633181')
('嘉庆皇帝+厉善麟', '0.632748')
('恭王府银安殿+清代嘉庆年间礼亲王昭梿', '0.632603')
('亲王府+厉善麟祖父厉子嘉', '0.632318')
('八十年代初恭王府+浩浩荡荡太监队伍', '0.631918')
('东路前院正房名+恭亲王奕忻', '0.630954')
('八十年代初恭王府+恭亲王', '0.63083')
('八十年代初恭王府+原国务院副总理李岚清同志', '0.630308')
('小恭王溥伟+唐颜真卿告身帖', '0.629879')
('府邸花园两部分+府邸', '0.628879')
('一座恭王府半部清朝史+乾隆五十四年固伦和孝公主', '0.628162')
('厉善麟祖父厉子嘉+嘉庆帝', '0.628087')
('府邸花园两部分+府邸产权', '0.627778')
('厉子嘉+辅仁大学', '0.627332')
('永璘+山中定次郎', '0.627028')
('永璘+恭王府主人奕䜣', '0.627028')
('奕訢+驸马', '0.626904')
('亲王府+宋易元吉聚猿图', '0.626808')
('厉善麟祖父厉子嘉+乾隆五十四年固伦和孝公主', '0.626617')
('亲王府+乾隆', '0.625978')
('僧格林沁亲王+郭沫若人', '0.625966')
('溥伟+奕訢', '0.625805')
('11月中央政治局常委李瑞环同志+日本首相桥本龙太郎先生', '0.625785')
('嘉庆+乾隆', '0.623703')
('八十年代初恭王府+著名学者侯仁之先生', '0.622576')
('周总理+嘉庆帝', '0.62213')
('溥伟+乾隆', '0.621912')
('溥伟+复辟', '0.62186')
('厉家菜+利滚利', '0.620947')
('乾隆五十四年固伦和孝公主+唐颜真卿告身帖', '0.620632')
('恭王府管理中心+恭王府几座主要厅堂内檐装修', '0.620329')
('八十年代初恭王府+厉善麟祖父厉子嘉', '0.620193')
('八十年代初恭王府+东路后进院落正房名', '0.620097')
('这座宅第+百名能工巧匠', '0.619615')
('恭王府人+恭亲王七百件珍藏', '0.619453')
('恭王府银安殿+整座府邸', '0.618891')
('嘉乐堂+殿堂屋顶', '0.618758')
('厉善麟+殿堂屋顶', '0.618178')
('浩浩荡荡太监队伍+恭王府银安殿', '0.617589')
('2008年恭王府+恭王府前身', '0.617348')
('恭王府+乾隆', '0.616645')
('恭王府花园+恭亲王奕忻', '0.616615')
('嘉庆帝+全部财富', '0.616493')
('整座府邸+此处私宅', '0.616175')
('这座宅第+此扇面', '0.615908')
('浩浩荡荡太监队伍+宋易元吉聚猿图', '0.615729')
('周恩来总理+全部财富', '0.615469')
('永璘+恭亲王奕忻', '0.615042')
('辅仁大学+日本', '0.614246')
('和珅+乾隆', '0.613916')
('小恭王溥伟+乾隆五十四年固伦和孝公主', '0.613375')
('郭沫若人+嘉乐堂', '0.613079')
('奕訢+乾隆', '0.612977')
('恭王府以前主人+恭王府和珅府邸恭王府', '0.612897')
('永璘+恭王府银安殿', '0.61273')
('周恩来总理+驸马', '0.612666')
('中国+驸马', '0.612655')
('整座府邸+嘉乐堂', '0.61214')
('恭亲王七百件珍藏+嘉乐堂', '0.611288')
('八十年代初恭王府+宋易元吉聚猿图', '0.611287')
('山中定次郎+曲径通幽', '0.61017')
('驸马+嘉庆', '0.609932')
('恭王府人+乾隆五十四年固伦和孝公主', '0.609676')
('一座恭王府半部清朝史+厉善麟祖父厉子嘉', '0.609568')
('东路后进院落正房名+恭亲王奕忻', '0.60952')
('府邸+奕訢', '0.608517')
('亲王府+复辟', '0.608469')
('宋易元吉聚猿图+恭王府前半部', '0.608454')
('恭亲王+康熙', '0.608446')
('永璘+戏楼南端明道斋', '0.608276')
('乾隆五十四年固伦和孝公主+宋易元吉聚猿图', '0.607716')
('中国+周总理', '0.607267')
('编辑+日本', '0.606933')
('僧格林沁亲王+恭亲王奕忻', '0.606639')
('小恭王溥伟+僧格林沁亲王', '0.606503')
('厉子嘉+整座府邸', '0.606479')
('厉善麟+整座府邸', '0.606479')
('利滚利+乾隆', '0.606462')
('日本首相桥本龙太郎先生+宋易元吉聚猿图', '0.606146')
('谷牧同志+嘉乐堂', '0.605845')
('恭王府前半部+殿堂屋顶', '0.604808')
('厉家菜+和珅', '0.603919')
('厉家菜+山中定次郎', '0.602915')
('厉家菜+恭王府主人奕䜣', '0.602915')
('山中定次郎+恭亲王奕忻', '0.60282')
('恭王府管理中心+小恭王溥伟', '0.601801')
('恭王府+和珅', '0.600656')
('小恭王溥伟+恭王府花园', '0.59988')
('周总理+宋易元吉聚猿图', '0.599192')
('山中定次郎+殿堂屋顶', '0.599024')
('恭王府主人奕䜣+府邸花园两部分', '0.599024')
('恭王府主人奕䜣+周恩来总理', '0.599024')
('恭王府主人奕䜣+11月中央政治局常委李瑞环同志', '0.599024')
('恭王府主人奕䜣+政协委员', '0.599024')
('恭王府主人奕䜣+东路前院正房名', '0.599024')
('恭王府主人奕䜣+小恭王溥伟', '0.599024')
('恭王府主人奕䜣+中央政治局常委李岚清同志', '0.599024')
('恭王府主人奕䜣+2008年恭王府', '0.599024')
('恭王府主人奕䜣+厉善麟祖父厉子嘉', '0.599024')
('恭王府主人奕䜣+恭王府府邸前身', '0.599024')
('恭王府主人奕䜣+恭王府前身', '0.599024')
('恭王府主人奕䜣+编辑', '0.599024')
('恭王府主人奕䜣+辅仁大学', '0.599024')
('恭王府主人奕䜣+日本首相桥本龙太郎先生', '0.599024')
('恭王府主人奕䜣+恭王府几座主要厅堂内檐装修', '0.599024')
('恭王府主人奕䜣+戏楼南端明道斋', '0.599024')
('恭王府主人奕䜣+利滚利', '0.599024')
('恭王府主人奕䜣+这座宅第', '0.599024')
('恭王府主人奕䜣+乾隆五十四年固伦和孝公主', '0.599024')
('恭王府主人奕䜣+著名学者侯仁之先生', '0.599024')
('恭王府主人奕䜣+中国', '0.599024')
('恭王府主人奕䜣+北京市', '0.599024')
('恭王府主人奕䜣+这批紫檀家具', '0.599024')
('恭王府主人奕䜣+恭王府花园', '0.599024')
('恭王府主人奕䜣+其府邸建筑', '0.599024')
('恭王府主人奕䜣+咸丰皇帝', '0.599024')
('恭王府主人奕䜣+周总理', '0.599024')
('恭王府主人奕䜣+北京', '0.599024')
('恭王府主人奕䜣+府邸', '0.599024')
('恭王府主人奕䜣+厉子嘉任务', '0.599024')
('恭王府主人奕䜣+溥伟', '0.599024')
('恭王府主人奕䜣+原国务院副总理李岚清同志', '0.599024')
('恭王府主人奕䜣+恭王府', '0.599024')
('恭王府主人奕䜣+和珅', '0.599024')
('恭王府主人奕䜣+和珅房屋', '0.599024')
('恭王府主人奕䜣+日本', '0.599024')
('恭王府主人奕䜣+僧格林沁亲王', '0.599024')
('恭王府主人奕䜣+恭王府以前主人', '0.599024')
('恭王府主人奕䜣+厉善麟', '0.599024')
('恭王府主人奕䜣+意指和珅家财宝', '0.599024')
('恭王府主人奕䜣+台北故宫', '0.599024')
('恭王府主人奕䜣+谷牧领导同志', '0.599024')
('恭王府主人奕䜣+奕訢', '0.599024')
('恭王府主人奕䜣+恭王府管理处', '0.599024')
('恭王府主人奕䜣+睿庙籍没', '0.599024')
('恭王府主人奕䜣+恭王府银安殿', '0.599024')
('恭王府主人奕䜣+府邸产权', '0.599024')
('恭王府主人奕䜣+溥伟二弟溥儒', '0.599024')
('恭王府主人奕䜣+每路由', '0.599024')
('恭王府主人奕䜣+嘉庆帝', '0.599024')
('恭王府主人奕䜣+宋易元吉聚猿图', '0.599024')
('恭王府主人奕䜣+驸马', '0.599024')
('恭王府主人奕䜣+百名能工巧匠', '0.599024')
('恭王府主人奕䜣+唐颜真卿告身帖', '0.599024')
('恭王府主人奕䜣+谷牧同志', '0.599024')
('恭王府主人奕䜣+曲径通幽', '0.599024')
('恭王府主人奕䜣+恭亲王七百件珍藏', '0.599024')
('恭王府主人奕䜣+此扇面', '0.599024')
('恭王府主人奕䜣+恭亲王', '0.599024')
('恭王府主人奕䜣+东路后进院落正房名', '0.599024')
('恭王府主人奕䜣+恭王府前半部', '0.599024')
('恭王府主人奕䜣+整座府邸', '0.599024')
('恭王府主人奕䜣+恭王府和珅府邸恭王府', '0.599024')
('恭王府主人奕䜣+行楷书', '0.599024')
('恭王府主人奕䜣+全部财富', '0.599024')
('恭王府主人奕䜣+此处私宅', '0.599024')
('恭王府主人奕䜣+郭沫若人', '0.599024')
('恭王府主人奕䜣+复辟', '0.599024')
('恭王府主人奕䜣+嘉乐堂', '0.599024')
('恭王府主人奕䜣+嘉庆', '0.599024')
('恭王府主人奕䜣+恭亲王奕忻', '0.599024')
('恭王府主人奕䜣+我国十大元帅', '0.599024')
('恭王府主人奕䜣+乾隆', '0.599024')
('恭王府主人奕䜣+康熙', '0.599024')
('恭王府主人奕䜣+张嘴和珅', '0.599024')
('恭王府主人奕䜣+清代嘉庆年间礼亲王昭梿', '0.599024')
('恭王府主人奕䜣+殿堂屋顶', '0.599024')
('浩浩荡荡太监队伍+此扇面', '0.597971')
('恭王府+僧格林沁亲王', '0.597264')
('恭王府几座主要厅堂内檐装修+整座府邸', '0.596862')
('利滚利+嘉庆', '0.596732')
('恭王府几座主要厅堂内檐装修+恭王府', '0.596602')
('厉家菜+这座宅第', '0.595915')
('曲径通幽+复辟', '0.595891')
('溥伟+驸马', '0.595848')
('恭亲王+郭沫若人', '0.595711')
('八十年代初恭王府+山中定次郎', '0.595135')
('八十年代初恭王府+恭王府主人奕䜣', '0.595135')
('中国+曲径通幽', '0.594316')
('厉子嘉+每路由', '0.594169')
('周恩来总理+嘉乐堂', '0.594021')
('北京恭王府+恭王府前身', '0.593875')
('恭亲王+嘉庆', '0.593712')
('唐颜真卿告身帖+恭亲王奕忻', '0.593568')
('厉善麟祖父厉子嘉+著名学者侯仁之先生', '0.593214')
('中国+郭沫若人', '0.592682')
('亲王府+中国', '0.592524')
('周总理+我国十大元帅', '0.59221')
('周恩来总理+厉善麟祖父厉子嘉', '0.591743')
('著名学者侯仁之先生+意指和珅家财宝', '0.591526')
('全部财富+复辟', '0.590968')
('永璘+府邸', '0.590625')
('周恩来总理+我国十大元帅', '0.590314')
('山中定次郎+日本首相桥本龙太郎先生', '0.589946')
('恭王府几座主要厅堂内檐装修+恭亲王七百件珍藏', '0.589761')
('浩浩荡荡太监队伍+清代嘉庆年间礼亲王昭梿', '0.589534')
('北京报纸+中国', '0.588326')
('厉子嘉任务+殿堂屋顶', '0.587992')
('东路前院正房名+戏楼南端明道斋', '0.58774')
('意指和珅家财宝+张嘴和珅', '0.587295')
('八十年代初恭王府+唐颜真卿告身帖', '0.586972')
('厉子嘉任务+此处私宅', '0.585357')
('咸丰皇帝+驸马', '0.585111')
('中国音乐学院+郭沫若人', '0.584761')
('明显标志+奕訢', '0.584543')
('奕訢+郭沫若人', '0.584407')
('僧格林沁亲王+宋易元吉聚猿图', '0.584139')
('日本+奕訢', '0.583925')
('厉子嘉任务+驸马', '0.583677')
('山中定次郎+乾隆五十四年固伦和孝公主', '0.583578')
('山中定次郎+恭亲王', '0.582487')
('周总理+驸马', '0.581757')
('亲王府+其府邸建筑', '0.580846')
('行楷书+复辟', '0.580789')
('周总理+复辟', '0.58019')
('驸马+康熙', '0.580052')
('恭王府前身+原国务院副总理李岚清同志', '0.579678')
('亲王府+小恭王溥伟', '0.57951')
('奕訢+嘉庆', '0.579488')
('亲王府+厉子嘉任务', '0.578561')
('恭王府府邸前身+原国务院副总理李岚清同志', '0.5782')
('恭王府前身+恭王府管理处', '0.577946')
('东路前院正房名+此处私宅', '0.57785')
('府邸花园两部分+恭王府和珅府邸恭王府', '0.577805')
('北京+复辟', '0.576941')
('永璘+东路前院正房名', '0.576563')
('恭王府银安殿+张嘴和珅', '0.576413')
('日本首相桥本龙太郎先生+恭王府以前主人', '0.576302')
('日本首相桥本龙太郎先生+乾隆五十四年固伦和孝公主', '0.57618')
('厉家菜+谷牧同志', '0.575604')
('嘉庆帝+此处私宅', '0.575564')
('厉子嘉+恭王府', '0.57523')
('著名学者侯仁之先生+恭亲王奕忻', '0.575044')
('厉善麟祖父厉子嘉+意指和珅家财宝', '0.574903')
('一座恭王府半部清朝史+恭亲王奕忻', '0.574587')
('恭亲王+恭王府前半部', '0.574423')
('睿庙籍没+恭王府银安殿', '0.573585')
('利滚利+周总理', '0.573071')
('日本首相桥本龙太郎先生+这座宅第', '0.572873')
('溥伟+整座府邸', '0.572814')
('府邸+恭王府', '0.572269')
('日本首相桥本龙太郎先生+恭王府前半部', '0.57211')
('周总理+整座府邸', '0.572037')
('山中定次郎+整座府邸', '0.572027')
('厉子嘉+咸丰皇帝', '0.571837')
('咸丰皇帝+厉善麟', '0.571837')
('恭王府+恭亲王七百件珍藏', '0.57183')
('利滚利+驸马', '0.57181')
('乾隆五十四年固伦和孝公主+周总理', '0.571669')
('一座恭王府半部清朝史+殿堂屋顶', '0.571579')
('利滚利+溥伟', '0.57087')
('辅仁大学+嘉庆帝', '0.570508')
('编辑+辅仁大学', '0.570229')
('每路由+复辟', '0.569983')
('恭王府银安殿+此处私宅', '0.569499')
('北京恭王府+恭王府府邸前身', '0.5689')
('恭王府府邸前身+乾隆五十四年固伦和孝公主', '0.568896')
('八十年代初恭王府+其府邸建筑', '0.568413')
('东路前院正房名+厉善麟祖父厉子嘉', '0.568007')
('一座恭王府半部清朝史+山中定次郎', '0.567923')
('一座恭王府半部清朝史+恭王府主人奕䜣', '0.567923')
('永璘+唐颜真卿告身帖', '0.567797')
('嘉庆皇帝+溥伟', '0.567319')
('恭王府人+郭沫若人', '0.566805')
('厉善麟祖父厉子嘉+僧格林沁亲王', '0.566785')
('永璘+百名能工巧匠', '0.566748')
('恭王府人+奕訢', '0.565862')
('厉家菜+北京市', '0.565798')
('11月中央政治局常委李瑞环同志+乾隆五十四年固伦和孝公主', '0.56576')
('厉家菜+编辑', '0.565734')
('百名能工巧匠+整座府邸', '0.56559')
('恭王府几座主要厅堂内檐装修+原国务院副总理李岚清同志', '0.565512')
('小恭王溥伟+戏楼南端明道斋', '0.565327')
('宋易元吉聚猿图+恭亲王', '0.565282')
('嘉庆帝+殿堂屋顶', '0.565195')
('亲王府+和珅', '0.565189')
('厉家菜+此扇面', '0.565048')
('小恭王溥伟+恭王府几座主要厅堂内檐装修', '0.565015')
('嘉庆+康熙', '0.564754')
('谷牧同志+恭亲王', '0.564751')
('恭王府花园+恭亲王', '0.564379')
('全部财富+乾隆', '0.563944')
('周总理+厉子嘉任务', '0.563886')
('恭王府府邸前身+著名学者侯仁之先生', '0.563849')
('恭王府前身+恭亲王', '0.563609')
('2008年恭王府+乾隆五十四年固伦和孝公主', '0.563152')
('厉子嘉+这座宅第', '0.562793')
('著名学者侯仁之先生+清代嘉庆年间礼亲王昭梿', '0.562461')
('乾隆五十四年固伦和孝公主+恭亲王', '0.562367')
('睿庙籍没+宋易元吉聚猿图', '0.56231')
('中央政治局常委李岚清同志+宋易元吉聚猿图', '0.562105')
('浩浩荡荡太监队伍+11月中央政治局常委李瑞环同志', '0.561961')
('嘉庆皇帝+永璘', '0.561953')
('恭王府管理中心+恭亲王奕忻', '0.5614')
('八十年代初恭王府+僧格林沁亲王', '0.56115')
('厉家菜+每路由', '0.561034')
('永璘+恭亲王七百件珍藏', '0.560797')
('一座恭王府半部清朝史+意指和珅家财宝', '0.56072')
('僧格林沁亲王+奕訢', '0.560526')
('东路后进院落正房名+殿堂屋顶', '0.560404')
('永璘+中国', '0.560154')
('这座宅第+溥伟', '0.560105')
('其府邸建筑+奕訢', '0.559732')
('中国音乐学院+政协委员', '0.559175')
('中国音乐学院+厉家菜', '0.559102')
('恭王府以前主人+唐颜真卿告身帖', '0.559096')
('戏楼南端明道斋+清代嘉庆年间礼亲王昭梿', '0.559086')
('厉子嘉任务+宋易元吉聚猿图', '0.558603')
('原国务院副总理李岚清同志+我国十大元帅', '0.55846')
('恭王府人+唐颜真卿告身帖', '0.558098')
('唐颜真卿告身帖+恭王府前半部', '0.557886')
('唐颜真卿告身帖+恭亲王七百件珍藏', '0.557757')
('恭王府几座主要厅堂内檐装修+恭王府管理处', '0.557294')
('浩浩荡荡太监队伍+唐颜真卿告身帖', '0.557231')
('永璘+驸马', '0.557061')
('永璘+张嘴和珅', '0.557038')
('厉善麟+郭沫若人', '0.55617')
('日本+台北故宫', '0.556162')
('中国音乐学院+厉善麟', '0.555745')
('嘉庆帝+此扇面', '0.555263')
('恭王府人+清代嘉庆年间礼亲王昭梿', '0.554906')
('原国务院副总理李岚清同志+恭王府银安殿', '0.55489')
('辅仁大学+溥伟', '0.55471')
('北京市+全部财富', '0.554685')
('这座宅第+意指和珅家财宝', '0.553488')
('厉家菜+唐颜真卿告身帖', '0.553308')
('中央政治局常委李岚清同志+恭王府以前主人', '0.553141')
('利滚利+康熙', '0.553086')
('恭王府人+中央政治局常委李岚清同志', '0.552973')
('周总理+恭王府前半部', '0.552951')
('小恭王溥伟+恭王府以前主人', '0.552942')
('戏楼南端明道斋+整座府邸', '0.552438')
('厉善麟祖父厉子嘉+乾隆', '0.552348')
('睿庙籍没+清代嘉庆年间礼亲王昭梿', '0.552325')
('僧格林沁亲王+恭亲王七百件珍藏', '0.551841')
('中国音乐学院+驸马', '0.551609')
('嘉庆皇帝+奕訢', '0.551328')
('利滚利+北京市', '0.5513')
('八十年代初恭王府+日本首相桥本龙太郎先生', '0.550982')
('府邸花园两部分+恭亲王奕忻', '0.550937')
('著名学者侯仁之先生+此处私宅', '0.550925')
('山中定次郎+僧格林沁亲王', '0.550896')
('著名学者侯仁之先生+睿庙籍没', '0.550273')
('一座恭王府半部清朝史+2008年恭王府', '0.549971')
('嘉庆皇帝+恭王府', '0.549552')
('周总理+郭沫若人', '0.549501')
('溥伟+康熙', '0.54914')
('八十年代初恭王府+11月中央政治局常委李瑞环同志', '0.549108')
('周总理+百名能工巧匠', '0.549007')
('厉子嘉+谷牧领导同志', '0.548904')
('厉善麟+谷牧领导同志', '0.548904')
('一座恭王府半部清朝史+我国十大元帅', '0.548894')
('周恩来总理+谷牧领导同志', '0.548847')
('厉家菜+恭王府', '0.548552')
('恭王府人+整座府邸', '0.548506')
('小恭王溥伟+整座府邸', '0.548339')
('该寺院+厉善麟祖父厉子嘉', '0.548093')
('小恭王溥伟+著名学者侯仁之先生', '0.547756')
('整座府邸+全部财富', '0.547535')
('周总理+每路由', '0.547522')
('永璘+此处私宅', '0.547232')
('恭亲王奕忻+殿堂屋顶', '0.547158')
('恭王府银安殿+曲径通幽', '0.547103')
('奕訢+此扇面', '0.547006')
('东路前院正房名+府邸', '0.546926')
('辅仁大学+利滚利', '0.546872')
('嘉庆皇帝+每路由', '0.546822')
('北京市+嘉庆帝', '0.546686')
('嘉庆皇帝+厉家菜', '0.546548')
('厉子嘉+此扇面', '0.546492')
('厉善麟+此扇面', '0.546492')
('周恩来总理+宋易元吉聚猿图', '0.546097')
('周恩来总理+奕訢', '0.545937')
('戏楼南端明道斋+恭亲王奕忻', '0.545906')
('北京恭王府+恭亲王', '0.545507')
('原国务院副总理李岚清同志+睿庙籍没', '0.545376')
('厉善麟祖父厉子嘉+谷牧同志', '0.544995')
('僧格林沁亲王+驸马', '0.544954')
('中国音乐学院+乾隆', '0.544856')
('11月中央政治局常委李瑞环同志+东路后进院落正房名', '0.544509')
('八十年代初恭王府+张嘴和珅', '0.544431')
('小恭王溥伟+清代嘉庆年间礼亲王昭梿', '0.543976')
('东路前院正房名+其府邸建筑', '0.543935')
('恭亲王+整座府邸', '0.543727')
('意指和珅家财宝+此处私宅', '0.543431')
('东路前院正房名+恭王府银安殿', '0.543416')
('奕訢+百名能工巧匠', '0.543363')
('中国音乐学院+编辑', '0.543313')
('日本+曲径通幽', '0.543175')
('清代嘉庆年间礼亲王昭梿+殿堂屋顶', '0.543172')
('戏楼南端明道斋+僧格林沁亲王', '0.54306')
('中央政治局常委李岚清同志+此处私宅', '0.542875')
('山中定次郎+奕訢', '0.542787')
('百名能工巧匠+恭亲王七百件珍藏', '0.542696')
('乾隆五十四年固伦和孝公主+恭王府', '0.542573')
('山中定次郎+复辟', '0.542571')
('乾隆五十四年固伦和孝公主+意指和珅家财宝', '0.54252')
('僧格林沁亲王+恭王府前半部', '0.542478')
